The conformance kit - one row per tune

name  calls  unit  entries  sha256 of the reference dump
cut_form  6000  2  6000  b9402e967568fcb9fc2a24723b4fd27216383de9a68a6cfd38644341926c69a4
plain_packed  400  2  400  b918f381ec31a3816f99f3b9c2ad747670df22743474f24947f6869a521bae01
plays_once  4100  2  4045  8718be5222c2ee9002e8862fbb9a7d7b4cd569679e69e4decdef6986bcc47b6f
resume_model  5379  2  5379  93f9f993abdea79c0c12dbbcef70794357a000037f371164ec3e4609ec03b5e7
retrigger  9985  2  9985  9a43b48723e4a49858c19130efa2dd115135715b0e8d96d14a939594db08a127
ring_form  2200  2  2200  8541804e5f08b67c2518c9c4a49d69ae33b819c8fd90518ee5db3e3bf1e12177
stored_tiny  40  2  40  16744d687c1b7ec222a137c5989a20eb3782247635be170864353c6d48de9c5b
unit1  400  1  400  b918f381ec31a3816f99f3b9c2ad747670df22743474f24947f6869a521bae01
unit4  400  4  400  a5eb882b6741cab49e11fdc659ebd9412ee97d5b33dc5f7797219435d6cd2701
wide_ring  7585  1  7585  020e76f57e39ce9689175b6b705d6010d9a7f9606a119de60b1336cb59507ff3
